IDPIF,SUPQUEMADA,RADIO_M,MUERTOS,HERIDOS,IDCOMUNIDAD,COMUNIDAD,IDPROVINCIA,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,RES_GRP_CAUSA,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2005324118,1160.0000,1921.56,0,0,3,GALICIA,32,OURENSE,VALDEORRAS-TRIVES,MANZANEDA,42.44069000,-8.01427600,2005-10-06,4283,5123,1,4,Provocados por pastores y ganaderos para regenerar el pasto,124,6,6,0,0
2006151825,1160.0000,1921.56,0,0,3,GALICIA,15,A CORUÑA,BARBANZA,RIANXO,42.68762200,-8.75826400,2006-08-10,1870,2025,1,4,Otras motivaciones,144,9,4,0,4479833
2006361452,1155.6000,1917.91,0,0,3,GALICIA,36,PONTEVEDRA,CALDAS-O SALNES,VILABOA,42.33090800,-8.67754700,2006-08-04,10125,10560,0,6,INCENDIO REPRODUCIDO,125,12,11,149277,4667729
2006430101,1153.9100,1916.50,0,0,2,CATALUÑA,43,TARRAGONA,BAIX CAMP,VANDELLÒS I L' HOSPITALET,40.98268000,0.84158000,2006-04-10,1581,2445,0,2,TRABAJOS FORESTALES,207,20,8,0,0
2009440085,1142.7800,1907.24,0,1,10,ARAGON,44,TERUEL,ANDORRA-SIERRA DE ARCOS,ALLOZA,40.93598400,-0.55042800,2009-07-22,6170,11820,0,1,RAYO,219,21,20,153044,10402460
2004270760,1139.0000,1904.08,0,0,3,GALICIA,27,LUGO,TERRA DE LEMOS,"SAVIÑAO, O",42.61032900,-7.59550300,2004-07-31,4050,4245,1,4,Sin datos,277,19,13,15890,2111184
2006050124,1130.2100,1896.72,0,0,17,CASTILLA Y LEON,5,AVILA,AVILA,TORNADIZOS DE AVILA,40.60596100,-4.60854100,2006-09-03,490,3290,1,4,Provocados por pastores y ganaderos para regenerar el pasto,122,13,11,0,0
2012190469,1125.5500,1892.81,0,1,11,CASTILLA-MANCHA,19,GUADALAJARA,MOLINA DE ARAGON,CHEQUILLA,40.60743400,-1.82810100,2012-08-01,4729,9148,0,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),403,39,30,0,0
2012490002,1115.0000,1883.92,0,0,17,CASTILLA Y LEON,49,ZAMORA,EL PUENTE,PÍAS,42.11776100,-6.93046700,2012-01-08,4461,4851,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,8,3,2,0,0
2011322307,1097.3200,1868.92,0,0,3,GALICIA,32,OURENSE,VERIN-VIANA,MONTERREI,41.88548700,-7.53475400,2011-10-15,3636,3709,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,58,5,8,0,1159
2013050059,1095.0100,1866.95,0,0,17,CASTILLA Y LEON,5,AVILA,EL HOYO DE PINARES,CEBREROS,40.43295000,-4.38566000,2013-08-03,1658,6649,0,3,LÍNEAS ELÉCTRICAS,523,31,20,0,0
2009040044,1086.7400,1859.89,0,0,4,ANDALUCIA,4,ALMERIA,ALMERÍA,NÍJAR,36.98204000,-2.17634000,2009-06-28,1450,2925,1,4,Otras motivaciones,278,11,10,0,0
2004490374,1080.0000,1854.11,0,0,17,CASTILLA Y LEON,49,ZAMORA,ALCAÑICES,FONFRIA,41.62739600,-6.18686000,2004-07-17,495,9825,0,6,INCENDIO REPRODUCIDO,104,12,13,0,271276
2010240126,1077.6600,1852.10,0,0,17,CASTILLA Y LEON,24,LEON,VILLAFRANCA,BARJAS,42.59302500,-6.94721500,2010-08-08,10264,13215,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,127,7,10,0,0
2005370407,1050.0000,1828.18,0,0,17,CASTILLA Y LEON,37,SALAMANCA,ROBLEDA,SERRADILLA DEL LLANO,40.46013800,-6.36268500,2005-08-31,1030,2465,1,4,Sin datos,157,24,15,0,612549
2009440086,1047.6400,1826.12,1,0,10,ARAGON,44,TERUEL,COMUNIDAD DE TERUEL,CORBALÁN,40.44152100,-0.95741700,2009-07-22,7555,13245,0,1,RAYO,111,13,6,120943,7851622
2007120015,1044.8300,1823.67,0,0,9,C. VALENCIANA,12,CASTELLON,L ALT PALANCIA,GAIBIEL,39.92902600,-0.49928700,2007-03-07,2265,8433,0,1,RAYO,88,19,6,0,0
2004410016,1043.1000,1822.16,0,0,4,ANDALUCIA,41,SEVILLA,SIERRA NORTE,OTRA PROVINCIA,37.51362300,-6.38681600,2004-06-30,0,2807,1,4,Provocados por venganzas,246,17,16,0,1291372
2012370236,1034.5100,1814.64,0,0,17,CASTILLA Y LEON,37,SALAMANCA,BEJAR,VALDEHIJADEROS,40.43159500,-5.84597300,2012-08-11,1320,2050,0,3,MOTORES Y MÁQUINAS (MAQUINARIA FIJA),85,9,9,0,0
2005490366,1020.0000,1801.87,0,0,17,CASTILLA Y LEON,49,ZAMORA,PUEBLA DE SANABRIA,PEDRALBA DE LA PRADERIA,41.97677600,-6.71645400,2005-03-13,1095,1725,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,58,5,6,8893,0
2006050125,1016.7700,1799.02,0,0,17,CASTILLA Y LEON,5,AVILA,AVILA,AVILA,40.67369100,-4.49348500,2006-09-03,370,9010,1,4,Provocados por venganzas,125,10,13,0,0
2006151566,1015.0000,1797.45,0,0,3,GALICIA,15,A CORUÑA,BARBANZA,PORTO DO SON,42.65082700,-9.00999200,2006-08-06,5430,5550,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,42,7,4,0,2237543
2007210102,1009.8700,1792.90,0,2,4,ANDALUCIA,21,HUELVA,EL CONDADO,NIEBLA,37.49309900,-6.68303200,2007-07-29,1955,3425,0,2,OTRAS NEGLIGENCIAS (OTRAS),274,30,17,0,0
2005323138,1007.0000,1790.35,0,1,3,GALICIA,32,OURENSE,O RIBEIRO-ARENTEIRO,AVIÓN,42.27110000,-7.52721200,2005-08-21,2676,5721,1,4,Provocados por pastores y ganaderos para regenerar el pasto,139,14,11,0,0
2006151824,1000.0000,1784.12,0,0,3,GALICIA,15,A CORUÑA,BERGANTIÑOS-MARIÑAS COR,"LARACHA, A",43.23987700,-8.49522500,2006-08-09,3398,3523,1,4,Sin datos,94,13,1,0,1685245
2006151694,1000.0000,1784.12,0,0,3,GALICIA,15,A CORUÑA,BARBANZA,PADRÓN,42.76074300,-8.62632000,2006-08-08,NULL,NULL,0,5,CAUSA DESCONOCIDA,61,9,5,0,2648229
2003100797,992.0000,1776.97,0,0,14,EXTREMADURA,10,CACERES,AMBROZ-JERTE Y TIETAR,TORNAVACAS,40.24240700,-5.68069400,2003-09-12,0,7754,1,4,Provocados por pastores y ganaderos para regenerar el pasto,252,16,18,0,21658
2010240181,990.0000,1775.18,0,0,17,CASTILLA Y LEON,24,LEON,TRUCHAS,BENUZA,42.30988000,-6.69281600,2010-08-24,1909,6070,1,4,Sin datos,216,7,8,0,0
2010370111,982.5300,1768.47,0,2,17,CASTILLA Y LEON,37,SALAMANCA,VITIGUDINO,VILLARINO DE LOS AIRES,41.26875100,-6.45321700,2010-07-30,4905,9165,1,4,Vandalismo,139,18,12,0,0
2011322342,979.8300,1766.03,0,0,3,GALICIA,32,OURENSE,VERIN-VIANA,VIANA DO BOLO,42.12589300,-7.03745200,2011-10-15,3953,5738,1,4,Otras motivaciones,53,6,6,0,711136
2011322366,978.6200,1764.94,0,0,3,GALICIA,32,OURENSE,MIÑO-ARNOIA,MACEDA,42.22898800,-7.53706200,2011-10-16,2805,5458,0,5,CAUSA DESCONOCIDA,96,18,4,0,590295
2002280240,974.6500,1761.36,0,1,16,MADRID,28,MADRID,TORRELAGUNA,"BERRUECO, EL",40.88365000,-3.55601600,2002-08-09,741,1696,0,5,CAUSA DESCONOCIDA,215,32,16,0,0
2006170122,971.6600,1758.66,0,0,2,CATALUÑA,17,GIRONA,ALT EMPORDA,VENTALLÓ,42.14422400,3.03387400,2006-08-04,1184,5481,1,4,Sin datos,584,99,28,0,0
2009030005,960.0000,1748.07,0,0,9,C. VALENCIANA,3,ALICANTE,LA MARINA BAIXA,"NUCIA, LA",38.59269600,-0.14917400,2009-01-24,1945,2080,0,3,LÍNEAS ELÉCTRICAS,561,43,11,0,7444170
2003090108,959.7600,1747.85,0,0,17,CASTILLA Y LEON,9,BURGOS,SEDANO,ALTOS LOS,42.74682800,-3.53147300,2003-08-05,3768,7368,0,1,RAYO,447,38,13,0,1929986
2008400044,956.2500,1744.65,0,1,17,CASTILLA Y LEON,40,SEGOVIA,BOCEGUILLAS,PRADALES,41.46827100,-3.69976500,2008-08-06,1365,3255,0,2,TRABAJOS FORESTALES,623,63,18,0,0
2005490699,956.0000,1744.43,0,0,17,CASTILLA Y LEON,49,ZAMORA,EL PUENTE,S JUSTO,42.17464300,-6.64188000,2005-08-20,5445,6890,1,4,Sin datos,74,0,10,30446,0
2001370125,950.0000,1738.94,0,1,17,CASTILLA Y LEON,37,SALAMANCA,GUIJUELO,TEJADO EL,40.44941600,-5.53648800,2001-08-23,425,3205,1,4,Sin datos,270,1,9,0,0
2006151867,950.0000,1738.94,0,0,3,GALICIA,15,A CORUÑA,FISTERRA,VIMIANZO,43.11329300,-9.09218500,2006-08-10,3195,3225,1,4,Sin datos,76,10,5,0,3757141
2009490542,935.0000,1725.16,0,0,17,CASTILLA Y LEON,49,ZAMORA,ALCAÑICES,MAHIDE,41.83498900,-6.30388500,2009-08-23,393,423,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,333,28,18,0,0
2009020293,934.7200,1724.90,0,0,11,CASTILLA-MANCHA,2,ALBACETE,CENTRO,HIGUERUELA,39.01656900,-1.49619400,2009-07-15,2765,5970,0,3,MANIOBRAS MILITARES,211,16,13,0,0
2006151686,929.0000,1719.62,0,0,3,GALICIA,15,A CORUÑA,SANTIAGO-MESETA INTERIOR,VAL DO DUBRA,42.96773100,-8.64346300,2006-08-05,2630,2900,1,4,Provocados por pirómanos,90,15,5,0,4367739
2005240545,921.0000,1712.20,0,0,17,CASTILLA Y LEON,24,LEON,LA BAÑEZA,CASTROCONTRIGO,42.21174400,-6.18868000,2005-06-24,488,3180,0,1,RAYO,182,24,5,0,0
2013190179,919.0000,1710.34,0,0,11,CASTILLA-MANCHA,19,GUADALAJARA,SIERRA,TORTUERO,40.90959100,-3.35046600,2013-07-31,2231,5006,0,3,MOTORES Y MÁQUINAS (COSECHADORAS),458,52,43,0,0
2012240228,905.0000,1697.26,0,0,17,CASTILLA Y LEON,24,LEON,TRUCHAS,TRUCHAS,42.32632200,-6.41876900,2012-03-09,4104,4475,1,4,Sin datos,96,5,10,0,0
2011331489,901.0000,1693.50,0,0,5,ASTURIAS,33,ASTURIAS,NARCEA,CANGAS DEL NARCEA,43.08857700,-6.66256700,2011-10-17,3388,3568,1,4,Provocados por pastores y ganaderos para regenerar el pasto,81,0,3,0,158037
2013320589,883.0000,1676.50,0,0,3,GALICIA,32,OURENSE,VERIN-VIANA,CUALEDRO,41.97146200,-7.60039500,2013-08-24,1875,4810,1,4,Sin datos,400,46,20,0,908978
2003090095,882.4900,1676.02,0,12,17,CASTILLA Y LEON,9,BURGOS,MEDINA DE POMAR,MERINDAD DE CUESTA-URRIA,42.86525200,-3.40246700,2003-08-03,9741,11518,0,1,RAYO,698,41,27,0,1344899
2012240577,882.0000,1675.55,0,0,17,CASTILLA Y LEON,24,LEON,CANALES-LA MAGDALENA,RIELLO,42.87280200,-6.01931400,2012-09-01,2929,5959,1,4,Provocados por pastores y ganaderos para regenerar el pasto,96,6,10,0,0
2005130147,876.0000,1669.84,0,0,11,CASTILLA-MANCHA,13,CIUDAD REAL,CAMPO DE CALATRAVA,ARGAMASILLA DE CALATRAVA,38.76082600,-3.98041700,2005-08-10,511,1576,1,4,Sin datos,158,16,6,0,15768
2003280097,874.6700,1668.58,0,0,16,MADRID,28,MADRID,SAN MARTIN DE VALDEIGLESIAS,NAVAS DEL REY,40.38461100,-4.26933300,2003-06-26,1033,5261,0,2,HOGUERAS,278,32,9,0,511018
2004210078,874.0400,1667.97,0,0,4,ANDALUCIA,21,HUELVA,EL CONDADO,ESCACENA DEL CAMPO,37.51362300,-6.38681600,2004-06-30,2442,2442,1,4,Provocados por venganzas,231,15,13,0,0
2003030105,874.0000,1667.94,0,0,9,C. VALENCIANA,3,ALICANTE,LA MARINA ALTA,LLÍBER,38.68179400,-0.01334600,2003-08-30,1898,3959,1,4,Sin datos,232,38,23,0,29062
2009420047,858.7200,1653.29,0,0,17,CASTILLA Y LEON,42,SORIA,ALMAZAN,OTRA PROVINCIA,41.05280200,-2.43006800,2009-07-22,1190,3190,0,3,MOTORES Y MÁQUINAS (COSECHADORAS),163,17,8,83161,0
2006361669,856.3300,1650.99,0,0,3,GALICIA,36,PONTEVEDRA,CALDAS-O SALNES,PONTEVEDRA,42.50951700,-8.63901800,2006-08-08,1255,1375,1,4,Provocados por pirómanos,31,3,3,40626,3409778
2005080298,849.8000,1644.68,0,3,2,CATALUÑA,8,BARCELONA,BAGES,CASTELLNOU DE BAGES,41.84118100,1.83407000,2005-07-18,1831,6013,1,4,Vandalismo,795,152,19,0,0
2009430125,847.9000,1642.84,5,1,2,CATALUÑA,43,TARRAGONA,TERRA ALTA,HORTA DE SANT JOAN,40.92540500,0.34094600,2009-07-20,5156,20141,0,2,HOGUERAS,1293,99,21,0,0
2006361611,839.3100,1634.50,0,0,3,GALICIA,36,PONTEVEDRA,CALDAS-O SALNES,BARRO,42.53160800,-8.65940900,2006-08-07,820,0,1,4,Provocados por pirómanos,49,4,1,26975,3286508
2013490107,837.5600,1632.80,0,0,17,CASTILLA Y LEON,49,ZAMORA,ALCAÑICES,PORTUGAL,41.66376300,-6.30622000,2013-08-01,2385,5515,0,3,MOTORES Y MÁQUINAS (COSECHADORAS),449,26,20,0,0
2012190494,836.8000,1632.05,0,1,11,CASTILLA-MANCHA,19,GUADALAJARA,CAMPIÑA,"CUBILLO DE UCEDA, EL",40.79387100,-3.45327900,2012-08-11,1615,2862,0,5,CAUSA DESCONOCIDA,192,21,18,0,0
